date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,POS_08_12,14.54,29,29,11,2.85,65.6
2020-11-03,POS_08_12,189.84,32,32,11,4.75,174.5
2020-11-04,POS_08_12,84.03,32,32,11,2.47,142.1
2020-11-05,POS_08_12,55.0,32,32,11,2.78,65.4
2020-11-06,POS_08_12,43.92,29,29,11,4.57,315.0
2020-11-07,POS_08_12,28.93,30,30,11,4.57,315.0
2020-11-08,POS_08_12,20.7,32,32,11,4.57,315.0
2020-11-09,POS_08_12,38.0,32,32,11,2.81,143.85
2020-11-10,POS_08_12,36.28,32,32,11,2.64,143.85
2020-11-11,POS_08_12,36.7,29,29,11,5.72,143.85
2020-11-12,POS_08_12,31.29,32,32,11,2.32,143.85
2020-11-13,POS_08_12,26.41,30,30,11,3.1,143.85
2020-11-14,POS_08_12,19.5,29,29,11,3.1,143.85
2020-11-15,POS_08_12,45.0,29,29,11,3.1,143.85
2020-11-16,POS_08_12,34.0,32,32,11,8.7,143.85
2020-11-17,POS_08_12,30.52,32,32,11,3.66,143.85
2020-11-18,POS_08_12,26.0,32,32,11,5.73,143.85
2020-11-19,POS_08_12,26.86,32,32,11,8.28,143.85
2020-11-20,POS_08_12,29.43,32,32,11,4.62,143.85
2020-11-21,POS_08_12,19.2,29,29,11,4.62,143.85
2020-11-22,POS_08_12,17.65,20,20,11,4.62,143.85
2020-11-23,POS_08_12,36.33,32,32,11,9.26,143.85
2020-11-24,POS_08_12,33.44,30,30,11,5.62,143.85
2020-11-25,POS_08_12,31.62,29,29,11,5.19,143.85
2020-11-26,POS_08_12,47.6,29,29,11,5.19,143.85
2020-11-27,POS_08_12,83.28,29,29,11,5.71,143.85
2020-11-28,POS_08_12,32.72,24,24,11,5.71,143.85
2020-11-29,POS_08_12,20.82,29,29,11,5.71,143.85
2020-11-30,POS_08_12,95.71,29,29,11,2.88,143.85
2020-12-01,POS_08_12,60.0,27,27,12,4.26,143.85
2020-12-02,POS_08_12,114.36,20,20,12,6.74,143.85
