date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,POS_16_20,24.5,29,29,11,2.85,65.6
2020-11-03,POS_16_20,155.0,32,32,11,4.75,174.5
2020-11-04,POS_16_20,71.8,32,29,11,2.47,142.1
2020-11-05,POS_16_20,53.5,29,29,11,2.78,65.4
2020-11-06,POS_16_20,44.88,29,29,11,4.57,315.0
2020-11-07,POS_16_20,31.43,20,20,11,4.57,315.0
2020-11-08,POS_16_20,25.68,32,32,11,4.57,315.0
2020-11-09,POS_16_20,40.52,32,32,11,2.81,143.85
2020-11-10,POS_16_20,59.76,32,32,11,2.64,143.85
2020-11-11,POS_16_20,59.0,32,32,11,5.72,143.85
2020-11-12,POS_16_20,42.14,29,29,11,2.32,143.85
2020-11-13,POS_16_20,35.73,29,29,11,3.1,143.85
2020-11-14,POS_16_20,25.64,29,29,11,3.1,143.85
2020-11-15,POS_16_20,62.22,29,29,11,3.1,143.85
2020-11-16,POS_16_20,45.36,32,32,11,8.7,143.85
2020-11-17,POS_16_20,41.12,32,32,11,3.66,143.85
2020-11-18,POS_16_20,36.0,32,32,11,5.73,143.85
2020-11-19,POS_16_20,35.56,32,32,11,8.28,143.85
2020-11-20,POS_16_20,48.32,29,29,11,4.62,143.85
2020-11-21,POS_16_20,30.6,29,29,11,4.62,143.85
2020-11-22,POS_16_20,34.11,32,32,11,4.62,143.85
2020-11-23,POS_16_20,51.5,32,32,11,9.26,143.85
2020-11-24,POS_16_20,47.45,32,32,11,5.62,143.85
2020-11-25,POS_16_20,52.27,32,32,11,5.19,143.85
2020-11-26,POS_16_20,105.0,29,29,11,5.19,143.85
2020-11-27,POS_16_20,118.57,32,32,11,5.71,143.85
2020-11-28,POS_16_20,51.45,20,20,11,5.71,143.85
2020-11-29,POS_16_20,43.21,29,29,11,5.71,143.85
2020-11-30,POS_16_20,63.54,29,29,11,2.88,143.85
2020-12-01,POS_16_20,78.0,29,29,12,4.26,143.85
2020-12-02,POS_16_20,169.27,29,29,12,6.74,143.85
2020-12-03,POS_16_20,61.96,29,29,12,4.44,143.85
2020-12-04,POS_16_20,45.4,32,32,12,2.85,143.85
2020-12-05,POS_16_20,35.0,32,32,12,2.85,143.85
2020-12-06,POS_16_20,28.36,34,34,12,2.85,143.85
2020-12-07,POS_16_20,39.0,33,33,12,5.5,143.85
2020-12-08,POS_16_20,114.29,29,29,12,2.46,143.85
2020-12-09,POS_16_20,210.0,30,30,12,2.84,70.2
2020-12-10,POS_16_20,195.0,29,29,12,4.76,265.4
2020-12-11,POS_16_20,65.08,30,30,12,2.77,136.4
2020-12-12,POS_16_20,39.78,29,29,12,2.77,136.4
2020-12-13,POS_16_20,30.18,29,29,12,2.77,136.4
2020-12-14,POS_16_20,36.0,32,32,12,2.64,95.8
2020-12-15,POS_16_20,38.32,29,29,12,7.48,326.15
2020-12-16,POS_16_20,38.44,29,29,12,2.21,122.25
2020-12-17,POS_16_20,38.46,29,29,12,3.08,369.0
2020-12-18,POS_16_20,33.9,29,28,12,8.49,365.5
2020-12-19,POS_16_20,27.6,28,28,12,8.49,365.5
2020-12-20,POS_16_20,30.0,29,29,12,8.49,365.5
2020-12-21,POS_16_20,25.0,29,29,12,3.7,156.25
2020-12-22,POS_16_20,31.8,29,29,12,3.94,370.25
2020-12-23,POS_16_20,28.24,29,29,12,7.71,233.05
2020-12-24,POS_16_20,24.22,29,29,12,4.64,136.0
2020-12-25,POS_16_20,23.25,29,29,12,4.64,136.0
2020-12-26,POS_16_20,14.82,20,20,12,4.64,136.0
2020-12-27,POS_16_20,21.6,29,29,12,4.64,136.0
2020-12-28,POS_16_20,33.88,32,32,12,8.79,136.0
2020-12-29,POS_16_20,22.88,29,29,12,3.24,136.0
2020-12-30,POS_16_20,21.0,32,32,12,5.54,136.0
2020-12-31,POS_16_20,26.72,32,32,12,6.27,225.1
2021-01-01,POS_16_20,21.76,36,36,1,6.27,225.1
2021-01-02,POS_16_20,21.35,29,29,1,6.27,225.1
2021-01-03,POS_16_20,17.73,29,29,1,6.27,225.1
2021-01-04,POS_16_20,25.35,29,29,1,2.78,123.1
2021-01-05,POS_16_20,28.04,29,29,1,4.06,266.0
2021-01-06,POS_16_20,25.29,32,32,1,6.28,190.5
2021-01-07,POS_16_20,46.64,29,29,1,3.82,65.4
2021-01-08,POS_16_20,55.52,29,29,1,3.99,177.3
2021-01-09,POS_16_20,26.56,29,29,1,3.99,177.3
2021-01-10,POS_16_20,21.16,29,29,1,3.99,177.3
2021-01-11,POS_16_20,24.4,29,29,1,2.79,136.85
2021-01-12,POS_16_20,27.0,29,29,1,4.89,66.15
2021-01-13,POS_16_20,24.43,29,29,1,2.41,436.5
2021-01-14,POS_16_20,50.92,29,29,1,2.82,141.4
2021-01-15,POS_16_20,57.78,38,38,1,4.72,259.8
2021-01-16,POS_16_20,26.95,22,22,1,4.72,259.8
2021-01-17,POS_16_20,22.95,29,29,1,4.72,259.8
2021-01-18,POS_16_20,22.58,29,29,1,4.72,136.1
2021-01-19,POS_16_20,19.32,29,29,1,3.01,96.4
2021-01-20,POS_16_20,20.84,29,29,1,2.1,327.15
2021-01-21,POS_16_20,19.96,29,29,1,2.97,123.6
2021-01-22,POS_16_20,33.24,29,29,1,7.95,139.7
2021-01-23,POS_16_20,21.21,20,20,1,7.95,139.7
2021-01-24,POS_16_20,18.0,29,29,1,7.95,139.7
2021-01-25,POS_16_20,31.5,29,29,1,2.17,366.05
2021-01-26,POS_16_20,26.06,29,29,1,3.04,162.2
2021-01-27,POS_16_20,24.69,29,29,1,8.52,376.0
2021-01-28,POS_16_20,22.0,29,29,1,4.03,50.9
2021-01-29,POS_16_20,19.62,29,29,1,8.27,139.75
2021-01-30,POS_16_20,19.6,29,29,1,8.27,139.75
2021-01-31,POS_16_20,18.7,29,29,1,8.27,139.75
2021-02-01,POS_16_20,29.18,29,29,2,4.71,229.5
2021-02-02,POS_16_20,29.19,29,29,2,6.47,124.25
2021-02-03,POS_16_20,38.75,32,32,2,3.06,267.0
