date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,POS_12_16,3.6,20,20,11,2.85,65.6
2020-11-03,POS_12_16,116.28,32,32,11,4.75,174.5
2020-11-04,POS_12_16,60.0,32,32,11,2.47,142.1
2020-11-05,POS_12_16,37.0,32,32,11,2.78,65.4
2020-11-06,POS_12_16,26.02,30,30,11,4.57,315.0
2020-11-07,POS_12_16,17.73,30,30,11,4.57,315.0
2020-11-08,POS_12_16,12.9,29,29,11,4.57,315.0
2020-11-09,POS_12_16,22.44,32,32,11,2.81,143.85
2020-11-10,POS_12_16,21.36,29,29,11,2.64,143.85
2020-11-11,POS_12_16,17.96,29,29,11,5.72,143.85
2020-11-12,POS_12_16,14.44,29,29,11,2.32,143.85
2020-11-13,POS_12_16,11.55,30,30,11,3.1,143.85
2020-11-14,POS_12_16,7.96,29,29,11,3.1,143.85
2020-11-15,POS_12_16,35.0,29,29,11,3.1,143.85
2020-11-16,POS_12_16,26.43,32,32,11,8.7,143.85
2020-11-17,POS_12_16,22.5,29,29,11,3.66,143.85
2020-11-18,POS_12_16,17.16,29,29,11,5.73,143.85
2020-11-19,POS_12_16,16.84,29,29,11,8.28,143.85
2020-11-20,POS_12_16,15.1,29,29,11,4.62,143.85
2020-11-21,POS_12_16,9.71,29,29,11,4.62,143.85
2020-11-22,POS_12_16,13.06,20,20,11,4.62,143.85
2020-11-23,POS_12_16,22.0,32,32,11,9.26,143.85
2020-11-24,POS_12_16,17.67,29,29,11,5.62,143.85
2020-11-25,POS_12_16,15.08,30,30,11,5.19,143.85
2020-11-26,POS_12_16,26.5,37,37,11,5.19,143.85
2020-11-27,POS_12_16,34.0,29,29,11,5.71,143.85
2020-11-28,POS_12_16,16.4,20,20,11,5.71,143.85
2020-11-29,POS_12_16,11.0,29,29,11,5.71,143.85
2020-11-30,POS_12_16,23.34,29,29,11,2.88,143.85
2020-12-01,POS_12_16,27.42,29,29,12,4.26,143.85
2020-12-02,POS_12_16,79.85,29,29,12,6.74,143.85
2020-12-03,POS_12_16,27.12,27,27,12,4.44,143.85
2020-12-04,POS_12_16,19.5,29,29,12,2.85,143.85
2020-12-05,POS_12_16,14.13,29,29,12,2.85,143.85
2020-12-06,POS_12_16,11.42,29,29,12,2.85,143.85
2020-12-07,POS_12_16,15.36,23,23,12,5.5,143.85
2020-12-08,POS_12_16,54.5,29,29,12,2.46,143.85
2020-12-09,POS_12_16,83.64,30,30,12,2.84,70.2
2020-12-10,POS_12_16,73.64,30,30,12,4.76,265.4
2020-12-11,POS_12_16,33.13,30,30,12,2.77,136.4
2020-12-12,POS_12_16,17.73,29,29,12,2.77,136.4
