date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,POS_20_24,4.83,20,20,11,2.85,65.6
2020-11-03,POS_20_24,116.25,32,32,11,4.75,174.5
2020-11-04,POS_20_24,44.0,32,29,11,2.47,142.1
2020-11-05,POS_20_24,32.44,32,32,11,2.78,65.4
2020-11-06,POS_20_24,23.96,39,39,11,4.57,315.0
2020-11-07,POS_20_24,18.05,30,30,11,4.57,315.0
2020-11-08,POS_20_24,13.64,30,30,11,4.57,315.0
2020-11-09,POS_20_24,21.39,32,32,11,2.81,143.85
2020-11-10,POS_20_24,17.83,30,30,11,2.64,143.85
2020-11-11,POS_20_24,14.87,30,30,11,5.72,143.85
2020-11-12,POS_20_24,12.16,30,30,11,2.32,143.85
2020-11-13,POS_20_24,10.27,40,40,11,3.1,143.85
2020-11-14,POS_20_24,7.46,30,30,11,3.1,143.85
2020-11-15,POS_20_24,37.78,30,30,11,3.1,143.85
2020-11-16,POS_20_24,25.47,32,30,11,8.7,143.85
2020-11-17,POS_20_24,20.83,30,30,11,3.66,143.85
2020-11-18,POS_20_24,14.23,30,30,11,5.73,143.85
2020-11-19,POS_20_24,14.53,30,30,11,8.28,143.85
2020-11-20,POS_20_24,14.0,30,30,11,4.62,143.85
2020-11-21,POS_20_24,9.79,30,30,11,4.62,143.85
2020-11-22,POS_20_24,17.27,30,30,11,4.62,143.85
2020-11-23,POS_20_24,16.33,40,40,11,9.26,143.85
2020-11-24,POS_20_24,14.17,40,40,11,5.62,143.85
2020-11-25,POS_20_24,12.41,40,40,11,5.19,143.85
2020-11-26,POS_20_24,19.11,37,37,11,5.19,143.85
2020-11-27,POS_20_24,21.1,30,30,11,5.71,143.85
2020-11-28,POS_20_24,12.1,30,30,11,5.71,143.85
2020-11-29,POS_20_24,10.68,30,30,11,5.71,143.85
2020-11-30,POS_20_24,15.75,30,30,11,2.88,143.85
2020-12-01,POS_20_24,15.5,30,30,12,4.26,143.85
2020-12-02,POS_20_24,20.4,30,30,12,6.74,143.85
2020-12-03,POS_20_24,13.95,30,30,12,4.44,143.85
2020-12-04,POS_20_24,13.0,30,30,12,2.85,143.85
2020-12-05,POS_20_24,10.6,30,30,12,2.85,143.85
2020-12-06,POS_20_24,9.16,34,34,12,2.85,143.85
2020-12-07,POS_20_24,11.18,33,33,12,5.5,143.85
2020-12-08,POS_20_24,14.5,30,30,12,2.46,143.85
2020-12-09,POS_20_24,24.44,30,30,12,2.84,70.2
2020-12-10,POS_20_24,21.11,30,30,12,4.76,265.4
2020-12-11,POS_20_24,14.0,30,30,12,2.77,136.4
2020-12-12,POS_20_24,9.89,29,29,12,2.77,136.4
2020-12-13,POS_20_24,7.82,29,29,12,2.77,136.4
2020-12-14,POS_20_24,9.32,29,29,12,2.64,95.8
2020-12-15,POS_20_24,9.95,29,29,12,7.48,326.15
2020-12-16,POS_20_24,9.56,29,29,12,2.21,122.25
2020-12-17,POS_20_24,9.23,29,29,12,3.08,369.0
2020-12-18,POS_20_24,8.75,39,39,12,8.49,365.5
2020-12-19,POS_20_24,9.1,29,29,12,8.49,365.5
2020-12-20,POS_20_24,8.0,29,29,12,8.49,365.5
2020-12-21,POS_20_24,10.12,29,29,12,3.7,156.25
2020-12-22,POS_20_24,16.08,29,29,12,3.94,370.25
2020-12-23,POS_20_24,14.12,29,29,12,7.71,233.05
2020-12-24,POS_20_24,10.67,29,29,12,4.64,136.0
2020-12-25,POS_20_24,8.84,29,29,12,4.64,136.0
2020-12-26,POS_20_24,6.78,29,29,12,4.64,136.0
2020-12-27,POS_20_24,70.03,29,29,12,4.64,136.0
2020-12-28,POS_20_24,27.28,29,29,12,8.79,136.0
2020-12-29,POS_20_24,13.28,29,29,12,3.24,136.0
2020-12-30,POS_20_24,9.32,29,29,12,5.54,136.0
2020-12-31,POS_20_24,11.2,29,29,12,6.27,225.1
2021-01-01,POS_20_24,10.68,29,29,1,6.27,225.1
2021-01-02,POS_20_24,9.02,29,29,1,6.27,225.1
2021-01-03,POS_20_24,7.71,29,29,1,6.27,225.1
2021-01-04,POS_20_24,8.44,22,22,1,2.78,123.1
2021-01-05,POS_20_24,7.9,22,22,1,4.06,266.0
2021-01-06,POS_20_24,7.23,29,29,1,6.28,190.5
2021-01-07,POS_20_24,7.25,29,29,1,3.82,65.4
2021-01-08,POS_20_24,7.12,29,29,1,3.99,177.3
2021-01-09,POS_20_24,6.35,27,27,1,3.99,177.3
2021-01-10,POS_20_24,5.28,27,27,1,3.99,177.3
2021-01-11,POS_20_24,5.06,24,24,1,2.79,136.85
2021-01-12,POS_20_24,5.84,28,28,1,4.89,66.15
2021-01-13,POS_20_24,4.91,28,28,1,2.41,436.5
2021-01-14,POS_20_24,7.86,29,29,1,2.82,141.4
2021-01-15,POS_20_24,7.51,29,29,1,4.72,259.8
2021-01-16,POS_20_24,5.92,29,29,1,4.72,259.8
2021-01-17,POS_20_24,5.48,29,29,1,4.72,259.8
2021-01-18,POS_20_24,4.98,29,29,1,4.72,136.1
2021-01-19,POS_20_24,4.48,29,29,1,3.01,96.4
2021-01-20,POS_20_24,4.38,29,29,1,2.1,327.15
2021-01-21,POS_20_24,4.14,100,100,1,2.97,123.6
2021-01-22,POS_20_24,5.68,29,29,1,7.95,139.7
2021-01-23,POS_20_24,4.12,20,20,1,7.95,139.7
2021-01-24,POS_20_24,3.65,29,29,1,7.95,139.7
2021-01-25,POS_20_24,5.1,29,29,1,2.17,366.05
2021-01-26,POS_20_24,4.86,29,29,1,3.04,162.2
2021-01-27,POS_20_24,5.32,29,29,1,8.52,376.0
2021-01-28,POS_20_24,4.57,29,29,1,4.03,50.9
2021-01-29,POS_20_24,4.01,29,29,1,8.27,139.75
2021-01-30,POS_20_24,3.91,29,29,1,8.27,139.75
2021-01-31,POS_20_24,3.52,23,23,1,8.27,139.75
2021-02-01,POS_20_24,5.48,29,29,2,4.71,229.5
2021-02-02,POS_20_24,38.94,29,29,2,6.47,124.25
2021-02-03,POS_20_24,34.0,29,29,2,3.06,267.0
2021-02-04,POS_20_24,24.88,29,29,2,5.67,120.0
