date,product,capacity_price,offered_capacity,allocated_capacity,month,gas,coal
2020-11-02,NEG_12_16,20.0,100,100,11,2.85,65.6
2020-11-03,NEG_12_16,118.0,80,80,11,4.75,174.5
2020-11-04,NEG_12_16,65.88,80,80,11,2.47,142.1
2020-11-05,NEG_12_16,33.11,26,26,11,2.78,65.4
2020-11-06,NEG_12_16,20.9,80,58,11,4.57,315.0
2020-11-07,NEG_12_16,14.9,100,100,11,4.57,315.0
2020-11-08,NEG_12_16,10.9,20,20,11,4.57,315.0
2020-11-09,NEG_12_16,9.27,80,80,11,2.81,143.85
2020-11-10,NEG_12_16,6.5,80,80,11,2.64,143.85
2020-11-11,NEG_12_16,5.0,80,80,11,5.72,143.85
2020-11-12,NEG_12_16,6.67,79,79,11,2.32,143.85
2020-11-13,NEG_12_16,5.0,79,79,11,3.1,143.85
2020-11-14,NEG_12_16,5.96,30,30,11,3.1,143.85
2020-11-15,NEG_12_16,48.34,20,20,11,3.1,143.85
2020-11-16,NEG_12_16,25.0,20,20,11,8.7,143.85
2020-11-17,NEG_12_16,18.33,26,26,11,3.66,143.85
2020-11-18,NEG_12_16,10.0,79,79,11,5.73,143.85
2020-11-19,NEG_12_16,14.21,20,20,11,8.28,143.85
2020-11-20,NEG_12_16,8.6,80,80,11,4.62,143.85
2020-11-21,NEG_12_16,13.2,30,30,11,4.62,143.85
2020-11-22,NEG_12_16,19.21,20,20,11,4.62,143.85
2020-11-23,NEG_12_16,9.4,50,50,11,9.26,143.85
2020-11-24,NEG_12_16,7.5,80,80,11,5.62,143.85
2020-11-25,NEG_12_16,5.46,50,50,11,5.19,143.85
2020-11-26,NEG_12_16,4.16,50,24,11,5.19,143.85
2020-11-27,NEG_12_16,3.25,100,100,11,5.71,143.85
2020-11-28,NEG_12_16,6.0,100,100,11,5.71,143.85
2020-11-29,NEG_12_16,5.4,100,100,11,5.71,143.85
2020-11-30,NEG_12_16,3.6,30,30,11,2.88,143.85
2020-12-01,NEG_12_16,7.33,30,30,12,4.26,143.85
2020-12-02,NEG_12_16,5.0,80,80,12,6.74,143.85
2020-12-03,NEG_12_16,4.91,100,100,12,4.44,143.85
2020-12-04,NEG_12_16,5.4,80,80,12,2.85,143.85
2020-12-05,NEG_12_16,4.09,50,50,12,2.85,143.85
2020-12-06,NEG_12_16,3.23,50,33,12,2.85,143.85
2020-12-07,NEG_12_16,2.77,33,33,12,5.5,143.85
2020-12-08,NEG_12_16,2.48,80,72,12,2.46,143.85
2020-12-09,NEG_12_16,2.29,30,30,12,2.84,70.2
2020-12-10,NEG_12_16,2.5,50,50,12,4.76,265.4
2020-12-11,NEG_12_16,4.8,24,24,12,2.77,136.4
2020-12-12,NEG_12_16,4.56,80,80,12,2.77,136.4
2020-12-13,NEG_12_16,3.23,30,30,12,2.77,136.4
2020-12-14,NEG_12_16,3.79,80,80,12,2.64,95.8
2020-12-15,NEG_12_16,3.19,24,24,12,7.48,326.15
2020-12-16,NEG_12_16,2.84,80,50,12,2.21,122.25
2020-12-17,NEG_12_16,3.06,80,80,12,3.08,369.0
2020-12-18,NEG_12_16,3.1,40,40,12,8.49,365.5
2020-12-19,NEG_12_16,5.0,30,30,12,8.49,365.5
2020-12-20,NEG_12_16,3.96,30,30,12,8.49,365.5
2020-12-21,NEG_12_16,4.36,20,20,12,3.7,156.25
2020-12-22,NEG_12_16,16.33,100,100,12,3.94,370.25
2020-12-23,NEG_12_16,6.09,100,100,12,7.71,233.05
2020-12-24,NEG_12_16,12.8,30,30,12,4.64,136.0
2020-12-25,NEG_12_16,10.12,30,30,12,4.64,136.0
2020-12-26,NEG_12_16,28.35,30,30,12,4.64,136.0
2020-12-27,NEG_12_16,91.12,21,21,12,4.64,136.0
2020-12-28,NEG_12_16,26.63,30,30,12,8.79,136.0
2020-12-29,NEG_12_16,8.5,24,24,12,3.24,136.0
2020-12-30,NEG_12_16,7.26,80,80,12,5.54,136.0
2020-12-31,NEG_12_16,6.3,100,100,12,6.27,225.1
2021-01-01,NEG_12_16,5.83,40,40,1,6.27,225.1
2021-01-02,NEG_12_16,4.6,24,24,1,6.27,225.1
2021-01-03,NEG_12_16,5.04,30,30,1,6.27,225.1
2021-01-04,NEG_12_16,4.2,24,24,1,2.78,123.1
